Num	ber	of r	obot p	asses:					
195									
									
No	*	Row	Col.	X	Y	*	*	*	*
									
									
179	*	23	1	36.5	270.9	*	*	*	*
180	*	24	2	53.1	282.6	*	*	*	*
181	*	23	3	69.7	270.9	*	*	*	*
182	*	24	4	86.3	282.6	*	*	*	*
183	*	23	5	102.9	270.9	*	*	*	*
184	*	24	6	119.5	282.6	*	*	*	*
185	*	23	7	136.1	270.9	*	*	*	*
186	*	24	8	152.7	282.6	*	*	*	*
187	*	23	9	169.3	270.9	*	*	*	*
188	*	24	10	185.9	282.6	*	*	*	*
189	*	23	11	202.5	270.9	*	*	*	*
190	*	24	12	219.1	282.6	*	*	*	*
191	*	23	13	235.7	270.9	*	*	*	*
192	*	24	14	252.3	282.6	*	*	*	*
193	*	23	15	268.9	270.9	*	*	*	*
194	*	24	16	285.5	282.6	*	*	*	*
195	*	23	17	302.1	270.9	*	*	*	*
