Number of robot passes: 
254

No   * Row Col.  X      Y     Put FGr Take Angle
198  0  31  3   75.95  229.6   1   1   1   0    
199  0  32  4   99     236.01  1   1   1   0    
200  0  31  5   122.3  229.6   1   1   1   0    
201  0  32  6   145.35 236.01  1   1   1   0    
202  0  31  7   168.65 229.6   1   1   1   0    
203  0  32  8   191.7  236.01  1   1   1   0    
204  0  31  9   215    229.6   1   1   1   0    
205  0  32  10  238.05 236.01  1   1   1   0    
206  0  31  11  261.35 229.6   1   1   1   0    
207  0  32  12  284.4  236.01  1   1   1   0    
208  0  31  13  307.7  229.6   1   1   1   0    
209  0  33  1   29.6   243.5   1   1   1   0    
210  0  34  2   52.65  249.91  1   1   1   0    
211  0  33  3   75.95  243.5   1   1   1   0    
212  0  34  4   99     249.91  1   1   1   0    
213  0  33  5   122.3  243.5   1   1   1   0    
214  0  34  6   145.35 249.91  1   1   1   0    
215  0  33  7   168.65 243.5   1   1   1   0    
216  0  34  8   191.7  249.91  1   1   1   0    
217  0  33  9   215    243.5   1   1   1   0    
218  0  34  10  238.05 249.91  1   1   1   0    
219  0  33  11  261.35 243.5   1   1   1   0    
220  0  34  12  284.4  249.91  1   1   1   0    
221  0  33  13  307.7  243.5   1   1   1   0    
222  0  35  1   29.6   257.4   1   1   1   0    
223  0  36  2   52.65  263.81  1   1   1   0    
224  0  35  3   75.95  257.4   1   1   1   0    
225  0  36  4   99     263.81  1   1   1   0    
226  0  35  5   122.3  257.4   1   1   1   0    
227  0  36  6   145.35 263.81  1   1   1   0    
228  0  35  7   168.65 257.4   1   1   1   0    
229  0  36  8   191.7  263.81  1   1   1   0    
230  0  35  9   215    257.4   1   1   1   0    
231  0  36  10  238.05 263.81  1   1   1   0    
232  0  35  11  261.35 257.4   1   1   1   0    
233  0  36  12  284.4  263.81  1   1   1   0    
234  0  35  13  307.7  257.4   1   1   1   0    
235  0  37  1   29.6   271.3   1   1   1   0    
236  0  38  2   52.65  277.71  1   1   1   0    
237  0  37  3   75.95  271.3   1   1   1   0    
238  0  38  4   99     277.71  1   1   1   0    
239  0  37  5   122.3  271.3   1   1   1   0    
240  0  38  6   145.35 277.71  1   1   1   0    
241  0  37  7   168.65 271.3   1   1   1   0    
242  0  38  8   191.7  277.71  1   1   1   0    
243  0  37  9   215    271.3   1   1   1   0    
244  0  38  10  238.05 277.71  1   1   1   0    
245  0  37  11  261.35 271.3   1   1   1   0    
246  0  38  12  284.4  277.71  1   1   1   0    
247  0  37  13  307.7  271.3   1   1   1   0    
248  0  39  1   29.6   285.2   1   1   1   0    
249  0  39  3   75.95  285.2   1   1   1   0    
250  0  39  5   122.3  285.2   1   1   1   0    
251  0  39  7   168.65 285.2   1   1   1   0    
252  0  39  9   215    285.2   1   1   1   0    
253  0  39  11  261.35 285.2   1   1   1   0    
254  0  39  13  307.7  285.2   1   1   1   0    
