Num	ber	of r	obot p	asses:					
195									
									
No	*	Row	Col.	X	Y	*	*	*	*
									
									
142	*	18	12	219.1	212.4	*	*	*	*
143	*	18	14	252.3	212.4	*	*	*	*
144	*	18	16	285.5	212.4	*	*	*	*
145	*	19	1	36.5	224.1	*	*	*	*
146	*	19	3	69.7	224.1	*	*	*	*
147	*	19	5	102.9	224.1	*	*	*	*
148	*	19	7	136.1	224.1	*	*	*	*
149	*	19	9	169.3	224.1	*	*	*	*
150	*	19	11	202.5	224.1	*	*	*	*
151	*	19	13	235.7	224.1	*	*	*	*
152	*	19	15	268.9	224.1	*	*	*	*
153	*	19	17	302.1	224.1	*	*	*	*
154	*	20	2	53.1	235.8	*	*	*	*
155	*	20	4	86.3	235.8	*	*	*	*
156	*	20	6	119.5	235.8	*	*	*	*
157	*	20	8	152.7	235.8	*	*	*	*
158	*	20	10	185.9	235.8	*	*	*	*
159	*	20	12	219.1	235.8	*	*	*	*
160	*	20	14	252.3	235.8	*	*	*	*
161	*	20	16	285.5	235.8	*	*	*	*
162	*	21	1	36.5	247.5	*	*	*	*
163	*	21	3	69.7	247.5	*	*	*	*
164	*	21	5	102.9	247.5	*	*	*	*
165	*	21	7	136.1	247.5	*	*	*	*
166	*	21	9	169.3	247.5	*	*	*	*
167	*	21	11	202.5	247.5	*	*	*	*
168	*	21	13	235.7	247.5	*	*	*	*
169	*	21	15	268.9	247.5	*	*	*	*
170	*	21	17	302.1	247.5	*	*	*	*
171	*	22	2	53.1	259.2	*	*	*	*
172	*	22	4	86.3	259.2	*	*	*	*
173	*	22	6	119.5	259.2	*	*	*	*
174	*	22	8	152.7	259.2	*	*	*	*
175	*	22	10	185.9	259.2	*	*	*	*
176	*	22	12	219.1	259.2	*	*	*	*
177	*	22	14	252.3	259.2	*	*	*	*
178	*	22	16	285.5	259.2	*	*	*	*
179	*	23	1	36.5	270.9	*	*	*	*
180	*	23	3	69.7	270.9	*	*	*	*
181	*	23	5	102.9	270.9	*	*	*	*
182	*	23	7	136.1	270.9	*	*	*	*
183	*	23	9	169.3	270.9	*	*	*	*
184	*	23	11	202.5	270.9	*	*	*	*
185	*	23	13	235.7	270.9	*	*	*	*
186	*	23	15	268.9	270.9	*	*	*	*
187	*	23	17	302.1	270.9	*	*	*	*
188	*	24	2	53.1	282.6	*	*	*	*
189	*	24	4	86.3	282.6	*	*	*	*
190	*	24	6	119.5	282.6	*	*	*	*
191	*	24	8	152.7	282.6	*	*	*	*
192	*	24	10	185.9	282.6	*	*	*	*
193	*	24	12	219.1	282.6	*	*	*	*
194	*	24	14	252.3	282.6	*	*	*	*
195	*	24	16	285.5	282.6	*	*	*	*
